model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,1,r2,prediction,0.404952333272636,-0.04419485501762721,-0.05367736588732752,0.055343676413301957,0.3092464293396947,0.1343340436241356,6e47cb06
LSTM16,1,r2,prediction,-0.1984379020517546,-0.22259306509802146,-0.29621251842836593,-0.3853244109026439,-0.25951546790218716,-0.2724166728765946,6e47cb06
GRU16,1,r2,prediction,-0.23776133020774726,-0.2380864726981149,-0.3853569586749992,-0.4195516037308318,-0.3156181941880394,-0.3192749118999465,6e47cb06
SRNN16,1,r2,prediction,0.08732326772487775,0.10997513922554414,-0.4389488327616975,0.10022892786352944,-0.5980947102294207,-0.1479032416354334,6e47cb06
SLSTM16,1,r2,prediction,-0.14162657657944488,-0.1971394658905623,-0.2996869694978994,-0.35885968443064864,-0.33740311175729976,-0.266943161631171,6e47cb06
CNNRNN16,1,r2,prediction,0.1317754840441684,-0.14655383982912085,-0.31460873356811003,-0.3896966249674292,0.05599626444379291,-0.13261748997533976,6e47cb06
CNNLSTM16,1,r2,prediction,-0.1622256325729834,-0.2789585939112391,-0.49572801497387253,-0.4716253380015716,-0.3510245678244768,-0.35191242945682866,6e47cb06
MLP16,1,r2,prediction,-0.32139410652657485,-0.3117290767511578,-0.4404540555479235,-0.44678179313052424,-0.4695585500339343,-0.39798351639802293,6e47cb06
RNN16,2,r2,prediction,0.08506311660001686,0.11080744076798354,-0.13896177609497862,-0.006284919357234742,-0.21672018639298507,-0.0332192648954396,6e47cb06
LSTM16,2,r2,prediction,-0.009130448547494785,0.11931262247960073,0.5256814643832313,0.15067999623874628,0.1572330089816878,0.18875532870715425,6e47cb06
GRU16,2,r2,prediction,0.3895520932014921,0.4220025794534281,0.7223990829403244,0.17525409709876472,0.29055962010731695,0.3999534945602653,6e47cb06
SRNN16,2,r2,prediction,-0.06663458603777261,0.22094973599317436,0.2549138572099755,0.10579008326656458,0.39291381594024544,0.18158658127443744,6e47cb06
SLSTM16,2,r2,prediction,0.5036694893116008,0.39146371235848265,0.4473753094110756,0.3298970256451661,0.45092616274008024,0.4246663398932811,6e47cb06
CNNRNN16,2,r2,prediction,-0.11535242852102434,-0.06802912153422658,-0.04925576184239411,-0.6026871576276271,-0.24339117705445723,-0.2157431293159459,6e47cb06
CNNLSTM16,2,r2,prediction,0.21338266852268406,0.3826386106057986,0.6861871007768628,0.35783237896391795,0.3723072484096678,0.4024696014557863,6e47cb06
MLP16,2,r2,prediction,-0.10507867407431393,0.09892694395455859,-0.06698058713636446,0.15667063475528054,0.17116209565435292,0.05094008263070273,6e47cb06
RNN16,3,r2,prediction,-0.4646344846932553,-0.7798946765755215,-0.13350796011341748,-0.26569950028766076,-0.4131044140929987,-0.4113682071525707,6e47cb06
LSTM16,3,r2,prediction,-0.290888514163647,-0.5457458182991923,-0.03819835329849752,0.055703780164077066,0.042696239537791336,-0.1552865332118937,6e47cb06
GRU16,3,r2,prediction,0.003806357655314563,-0.7452669491714257,0.2161966310627057,0.09183834835974891,-0.036685486575066095,-0.09402221973374451,6e47cb06
SRNN16,3,r2,prediction,-0.4982666513713807,0.20280082423037027,0.22870074596735213,-0.11167382543407167,0.09140717652291908,-0.01740634601696218,6e47cb06
SLSTM16,3,r2,prediction,-0.13148643401374605,-0.14115609162170517,-0.046867131465783585,-0.016315590586922113,-0.019083346411772784,-0.07098171881998594,6e47cb06
CNNRNN16,3,r2,prediction,-1.5745582355212253,-1.8181197283730781,-1.377752324614982,-0.6104307003902716,0.1835594920804453,-1.0394602993638222,6e47cb06
CNNLSTM16,3,r2,prediction,-0.23361041065581123,0.09335679433446387,0.14260296012446938,-0.1123322275380394,-0.18862900086545586,-0.05972237692007465,6e47cb06
MLP16,3,r2,prediction,-0.18496590993190432,-0.4077386827172005,-0.5213355805976527,-0.40503255067203914,-0.237661468089158,-0.3513468384015909,6e47cb06
RNN16,4,r2,prediction,-0.6973947927483117,-1.9992271778147686,-0.9878323936481779,0.552280088378968,0.24912977974248884,-0.5766088992179603,6e47cb06
LSTM16,4,r2,prediction,-0.5720380555265485,0.08150557831142724,-0.13559900755334464,-0.3054058203079455,0.023836639430742546,-0.18154013312913378,6e47cb06
GRU16,4,r2,prediction,-0.09622450641600477,-0.019639069736508086,-0.5051871212391001,-0.31302280286444883,-0.16190822614285594,-0.21919634527978354,6e47cb06
SRNN16,4,r2,prediction,-2.1143170599520804,-1.2472201167768109,-0.4344565206662996,-0.8417252031101643,-0.22890394762926713,-0.9733245696269245,6e47cb06
SLSTM16,4,r2,prediction,-0.1519102041648519,-0.023312468068415804,-0.2217694603481124,-0.08413256269687963,-0.09743290128432114,-0.11571151931251618,6e47cb06
CNNRNN16,4,r2,prediction,-5.282656408748457,-5.115425637387306,-4.147067021199784,-0.7654885932398592,0.17390440114175576,-3.02734665188673,6e47cb06
CNNLSTM16,4,r2,prediction,-0.4914666035944959,0.1694333891947124,-0.2012449145697126,-0.1346771662956474,-0.10709755148674671,-0.15301056935037805,6e47cb06
